_id,REPORT_YEAR,DIVISION,CATEGORY,CRIME_TYPE,COUNT_,COUNT_CLEARED,Period
52,2019,D23,Crimes Against Property,Break & Enter,3,0,2014-2019
53,2021,D23,Crimes Against Property,Fraud,1,0,COVID Period
54,2022,D23,Crimes Against Property,Fraud,5,0,COVID Period
55,2014,D55,Crimes Against Property,Break & Enter,6,0,2014-2019
56,2021,D32,Crimes Against Property,Theft,61,0,COVID Period
57,2015,D53,Crimes Against Property,Break & Enter,8,0,2014-2019
59,2015,D11,Crimes Against Property,Break & Enter,1,0,2014-2019
60,2017,D32,Crimes Against Property,Theft,12,0,2014-2019
61,2022,D42,Crimes Against Property,Break & Enter,9,0,COVID Period
62,2022,D41,Crimes Against Property,Theft,4,0,COVID Period
63,2022,D13,Crimes Against the Person,Sexual Violation,1,0,COVID Period
64,2021,D51,Crimes Against Property,Theft,1,0,COVID Period
65,2017,D53,Crimes Against Property,Break & Enter,1,0,2014-2019
66,2016,D31,Crimes Against Property,Theft,1,0,2014-2019
67,2014,D42,Crimes Against the Person,Attempt Murder,2,0,2014-2019
68,2020,D55,Crimes Against Property,Break & Enter,12,0,COVID Period
70,2021,D42,Crimes Against Property,Break & Enter,2,0,COVID Period
71,2014,D41,Crimes Against Property,Fraud,6,0,2014-2019
72,2021,D13,Crimes Against Property,Theft,2,0,COVID Period
73,2021,D52,Crimes Against Property,Theft,3,0,COVID Period
74,2019,D22,Crimes Against Property,Theft,1,0,2014-2019
75,2017,D52,Crimes Against the Person,Sexual Violation,1,0,2014-2019
76,2020,D55,Crimes Against Property,Break & Enter,7,0,COVID Period
78,2017,D13,Crimes Against Property,Theft,1,0,2014-2019
79,2021,D52,Crimes Against Property,Theft,1,0,COVID Period
80,2023,D43,Crimes Against Property,Break & Enter,1,0,After COVID
81,2018,D12,Crimes Against Property,Break & Enter,1,0,2014-2019
82,2019,D32,Crimes Against Property,Break & Enter,3,0,2014-2019
83,2015,D55,Crimes Against Property,Theft,2,0,2014-2019
84,2014,D14,Crimes Against Property,Theft,1,0,2014-2019
85,2019,D23,Crimes Against the Person,Robbery,5,0,2014-2019
86,2020,D43,Crimes Against Property,Theft,4,0,COVID Period
87,2021,D32,Crimes Against Property,Break & Enter,10,0,COVID Period
88,2019,D42,Crimes Against Property,Other,1,0,2014-2019
89,2018,D13,Crimes Against Property,Break & Enter,4,0,2014-2019
90,2017,D55,Crimes Against Property,Theft,1,0,2014-2019
91,2018,D52,Crimes Against Property,Break & Enter,2,0,2014-2019
92,2018,D33,Crimes Against Property,Break & Enter,8,0,2014-2019
93,2020,D55,Crimes Against the Person,Assault,1,0,COVID Period
94,2016,D32,Crimes Against Property,Theft,14,0,2014-2019
95,2016,D22,Crimes Against Property,Break & Enter,2,0,2014-2019
96,2023,D22,Crimes Against the Person,Attempt Murder,2,0,After COVID
98,2020,D11,Crimes Against the Person,Robbery,2,0,COVID Period
99,2014,D14,Crimes Against Property,Break & Enter,1,0,2014-2019
100,2020,D52,Crimes Against the Person,Robbery,1,0,COVID Period
101,2014,D53,Crimes Against the Person,Robbery,1,0,2014-2019
102,2023,D42,Crimes Against Property,Theft,1,0,After COVID
103,2020,D55,Crimes Against Property,Break & Enter,2,0,COVID Period
104,2018,D43,Crimes Against the Person,Attempt Murder,1,0,2014-2019
105,2016,D13,Crimes Against Property,Break & Enter,3,0,2014-2019
106,2022,D53,Crimes Against the Person,Sexual Violation,3,0,COVID Period
107,2022,D41,Crimes Against Property,Break & Enter,1,0,COVID Period
108,2016,D33,Crimes Against Property,Theft,2,0,2014-2019
109,2015,D55,Crimes Against the Person,Robbery,1,0,2014-2019
110,2020,D41,Crimes Against Property,Break & Enter,2,0,COVID Period
111,2017,D33,Crimes Against Property,Theft,1,0,2014-2019
113,2022,D32,Crimes Against Property,Break & Enter,1,0,COVID Period
114,2015,D41,Crimes Against Property,Break & Enter,1,0,2014-2019
115,2019,D14,Crimes Against Property,Theft,2,0,2014-2019
116,2021,D12,Crimes Against Property,Break & Enter,2,0,COVID Period
117,2020,D53,Crimes Against Property,Theft,3,0,COVID Period
118,2015,D23,Crimes Against Property,Theft,1,0,2014-2019
119,2021,D32,Crimes Against Property,Break & Enter,2,0,COVID Period
120,2018,D33,Crimes Against Property,Break & Enter,4,0,2014-2019
121,2015,D55,Crimes Against Property,Fraud,1,0,2014-2019
122,2023,D23,Crimes Against Property,Theft,1,0,After COVID
123,2014,D23,Crimes Against Property,Theft,1,0,2014-2019
125,2023,D55,Crimes Against Property,Theft,4,0,After COVID
126,2018,D32,Crimes Against Property,Break & Enter,5,0,2014-2019
127,2016,D33,Crimes Against Property,Theft,1,0,2014-2019
128,2021,D13,Crimes Against Property,Break & Enter,1,0,COVID Period
129,2018,D23,Crimes Against Property,Other,3,0,2014-2019
130,2016,D55,Crimes Against Property,Break & Enter,1,0,2014-2019
131,2015,D42,Crimes Against Property,Break & Enter,2,0,2014-2019
132,2022,D42,Crimes Against Property,Break & Enter,1,0,COVID Period
133,2022,D23,Crimes Against Property,Break & Enter,1,0,COVID Period
134,2022,D23,Crimes Against the Person,Sexual Violation,2,0,COVID Period
135,2018,D42,Crimes Against Property,Theft,3,0,2014-2019
136,2023,D22,Crimes Against Property,Break & Enter,2,0,After COVID
137,2021,D52,Crimes Against the Person,Robbery,3,0,COVID Period
138,2020,D12,Crimes Against Property,Theft,2,0,COVID Period
139,2017,D42,Crimes Against Property,Theft,1,0,2014-2019
140,2019,D52,Crimes Against Property,Break & Enter,5,0,2014-2019
142,2015,D41,Crimes Against Property,Theft,14,0,2014-2019
144,2020,D11,Crimes Against Property,Break & Enter,3,0,COVID Period
145,2018,D13,Crimes Against Property,Break & Enter,15,0,2014-2019
146,2014,D55,Crimes Against Property,Break & Enter,3,0,2014-2019
147,2019,D23,Crimes Against Property,Theft,3,0,2014-2019
148,2021,D42,Crimes Against Property,Break & Enter,18,0,COVID Period
149,2020,D41,Crimes Against the Person,Sexual Violation,1,0,COVID Period
150,2017,D22,Crimes Against the Person,Assault,1,0,2014-2019
151,2015,D51,Crimes Against Property,Break & Enter,1,0,2014-2019
152,2023,D42,Crimes Against Property,Theft,2,0,After COVID
153,2019,D33,Crimes Against Property,Break & Enter,6,0,2014-2019
154,2019,D11,Crimes Against Property,Break & Enter,3,0,2014-2019
155,2021,D43,Crimes Against the Person,Robbery,1,0,COVID Period
156,2018,D22,Crimes Against Property,Theft,11,0,2014-2019
157,2016,D14,Crimes Against the Person,Attempt Murder,2,0,2014-2019
158,2020,D32,Crimes Against Property,Break & Enter,6,0,COVID Period
159,2014,D23,Crimes Against Property,Break & Enter,2,0,2014-2019
160,2016,D22,Crimes Against Property,Theft,1,0,2014-2019
161,2016,D43,Crimes Against Property,Break & Enter,1,0,2014-2019
162,2015,D32,Crimes Against Property,Fraud,3,0,2014-2019
163,2020,D32,Crimes Against Property,Break & Enter,1,0,COVID Period
164,2014,D42,Crimes Against Property,Theft,6,0,2014-2019
165,2018,D33,Crimes Against Property,Break & Enter,3,0,2014-2019
166,2023,D41,Crimes Against Property,Theft,2,0,After COVID
167,2016,D32,Crimes Against Property,Break & Enter,1,0,2014-2019
168,2021,D41,Crimes Against Property,Theft,30,0,COVID Period
169,2014,D13,Crimes Against Property,Break & Enter,1,0,2014-2019
170,2022,D43,Crimes Against Property,Break & Enter,1,0,COVID Period
171,2016,D32,Crimes Against Property,Break & Enter,9,0,2014-2019
172,2018,D23,Crimes Against Property,Theft,8,0,2014-2019
173,2020,D53,Crimes Against Property,Theft,10,0,COVID Period
174,2014,D31,Crimes Against Property,Break & Enter,3,0,2014-2019
175,2023,D12,Crimes Against the Person,Assault,2,0,After COVID
176,2022,D53,Crimes Against Property,Fraud,4,0,COVID Period
177,2021,D53,Crimes Against the Person,Sexual Violation,2,0,COVID Period
179,2016,D53,Crimes Against Property,Theft,1,0,2014-2019
180,2018,D53,Crimes Against Property,Break & Enter,4,0,2014-2019
181,2019,D12,Crimes Against Property,Theft,4,0,2014-2019
182,2014,D33,Crimes Against Property,Theft,11,0,2014-2019
183,2022,D33,Crimes Against Property,Theft,27,0,COVID Period
184,2019,D42,Crimes Against Property,Theft,1,0,2014-2019
185,2016,D23,Crimes Against Property,Other,1,0,2014-2019
186,2016,D33,Crimes Against Property,Break & Enter,7,0,2014-2019
187,2021,D32,Crimes Against Property,Theft,1,0,COVID Period
188,2022,D33,Crimes Against Property,Break & Enter,6,0,COVID Period
189,2015,D22,Crimes Against Property,Break & Enter,1,0,2014-2019
190,2022,D41,Crimes Against Property,Break & Enter,1,0,COVID Period
191,2016,D23,Crimes Against Property,Fraud,1,0,2014-2019
192,2021,D52,Crimes Against Property,Fraud,8,0,COVID Period
193,2014,D55,Crimes Against Property,Break & Enter,2,0,2014-2019
194,2017,D53,Crimes Against Property,Theft,4,0,2014-2019
195,2016,D22,Crimes Against Property,Theft,2,0,2014-2019
196,2022,D32,Crimes Against Property,Theft,1,0,COVID Period
197,2014,D23,Crimes Against Property,Theft,1,0,2014-2019
198,2017,D23,Crimes Against Property,Other,1,0,2014-2019
199,2016,D55,Crimes Against the Person,Assault,1,0,2014-2019
200,2021,D12,Crimes Against the Person,Other,1,0,COVID Period
201,2019,D55,Crimes Against Property,Other,1,0,2014-2019
202,2017,D11,Crimes Against Property,Theft,1,0,2014-2019
203,2022,D42,Crimes Against Property,Break & Enter,1,0,COVID Period
204,2014,D51,Crimes Against the Person,Sexual Violation,1,0,2014-2019
205,2015,D22,Crimes Against Property,Theft,1,0,2014-2019
206,2020,D51,Crimes Against Property,Break & Enter,1,0,COVID Period
207,2017,D32,Crimes Against the Person,Other,1,0,2014-2019
208,2019,D31,Crimes Against Property,Break & Enter,1,0,2014-2019
209,2015,D32,Crimes Against Property,Break & Enter,12,0,2014-2019
210,2018,D33,Crimes Against Property,Theft,3,0,2014-2019
211,2017,D51,Crimes Against the Person,Assault,1,0,2014-2019
212,2019,D55,Crimes Against the Person,Assault,2,0,2014-2019
213,2023,D23,Crimes Against the Person,Robbery,2,0,After COVID
214,2015,D33,Crimes Against Property,Theft,2,0,2014-2019
215,2023,D13,Crimes Against the Person,Sexual Violation,9,0,After COVID
216,2019,D32,Crimes Against Property,Break & Enter,11,0,2014-2019
217,2023,D31,Crimes Against Property,Fraud,27,0,After COVID
218,2016,D55,Crimes Against Property,Theft,7,0,2014-2019
219,2018,D23,Crimes Against Property,Other,2,0,2014-2019
220,2022,D12,Crimes Against the Person,Robbery,1,0,COVID Period
221,2017,D23,Crimes Against Property,Other,1,0,2014-2019
222,2021,D33,Crimes Against Property,Theft,5,0,COVID Period
223,2021,D53,Crimes Against Property,Theft,1,0,COVID Period
224,2022,D32,Crimes Against Property,Break & Enter,25,0,COVID Period
225,2020,D11,Crimes Against Property,Break & Enter,1,0,COVID Period
226,2020,D14,Crimes Against Property,Break & Enter,4,0,COVID Period
227,2020,D53,Crimes Against Property,Break & Enter,2,0,COVID Period
228,2019,D32,Crimes Against Property,Theft,2,0,2014-2019
229,2021,D42,Crimes Against the Person,Sexual Violation,3,0,COVID Period
230,2023,D22,Crimes Against the Person,Robbery,9,0,After COVID
231,2020,D22,Crimes Against Property,Break & Enter,1,0,COVID Period
232,2018,D22,Crimes Against Property,Break & Enter,2,0,2014-2019
233,2022,D53,Crimes Against the Person,Robbery,1,0,COVID Period
234,2015,D51,Crimes Against Property,Theft,14,0,2014-2019
235,2015,D32,Crimes Against Property,Other,7,0,2014-2019
236,2017,D55,Crimes Against Property,Theft,3,0,2014-2019
237,2017,D32,Crimes Against Property,Break & Enter,3,0,2014-2019
238,2015,D22,Crimes Against Property,Break & Enter,2,0,2014-2019
239,2018,D12,Crimes Against Property,Break & Enter,2,0,2014-2019
240,2015,D32,Crimes Against Property,Theft,1,0,2014-2019
241,2016,D13,Crimes Against Property,Break & Enter,4,0,2014-2019
242,2017,D53,Crimes Against the Person,Sexual Violation,1,0,2014-2019
243,2016,D53,Crimes Against the Person,Robbery,1,0,2014-2019
244,2014,D41,Crimes Against the Person,Sexual Violation,2,0,2014-2019
245,2018,D32,Crimes Against the Person,Attempt Murder,1,0,2014-2019
246,2021,D22,Crimes Against Property,Break & Enter,3,0,COVID Period
247,2017,D55,Crimes Against the Person,Sexual Violation,1,0,2014-2019
248,2020,D33,Crimes Against the Person,Robbery,6,0,COVID Period
249,2016,D52,Crimes Against Property,Theft,1,0,2014-2019
250,2014,D55,Crimes Against Property,Break & Enter,2,0,2014-2019
251,2017,D43,Crimes Against Property,Theft,2,0,2014-2019
252,2020,D53,Crimes Against Property,Other,1,0,COVID Period
253,2017,D11,Crimes Against Property,Break & Enter,2,0,2014-2019
254,2020,D32,Crimes Against Property,Break & Enter,1,0,COVID Period
255,2023,D41,Crimes Against the Person,Sexual Violation,1,0,After COVID
256,2014,D32,Crimes Against Property,Break & Enter,27,0,2014-2019
257,2023,D13,Crimes Against Property,Break & Enter,4,0,After COVID
258,2018,D55,Crimes Against Property,Theft,1,0,2014-2019
259,2022,D33,Crimes Against Property,Fraud,1,0,COVID Period
260,2015,D43,Crimes Against Property,Theft,16,0,2014-2019
262,2015,D14,Crimes Against Property,Theft,1,0,2014-2019
263,2018,D11,Crimes Against Property,Fraud,1,0,2014-2019
264,2022,D33,Crimes Against the Person,Assault,1,0,COVID Period
265,2021,D55,Crimes Against Property,Break & Enter,7,0,COVID Period
266,2015,D22,Crimes Against Property,Other,1,0,2014-2019
267,2017,D31,Crimes Against Property,Break & Enter,12,0,2014-2019
268,2014,D32,Crimes Against Property,Theft,4,0,2014-2019
269,2020,D55,Crimes Against the Person,Robbery,3,0,COVID Period
270,2019,D11,Crimes Against Property,Break & Enter,5,0,2014-2019
271,2020,D12,Crimes Against Property,Break & Enter,2,0,COVID Period
272,2016,D14,Crimes Against Property,Break & Enter,3,0,2014-2019
273,2016,D32,Crimes Against Property,Break & Enter,5,0,2014-2019
274,2018,D33,Crimes Against Property,Theft,1,0,2014-2019
275,2015,D53,Crimes Against Property,Theft,5,0,2014-2019
276,2017,D11,Crimes Against the Person,Robbery,6,0,2014-2019
277,2015,D55,Crimes Against Property,Break & Enter,2,0,2014-2019
278,2020,D22,Crimes Against Property,Break & Enter,2,0,COVID Period
279,2016,D14,Crimes Against Property,Fraud,1,0,2014-2019
280,2017,D51,Crimes Against Property,Theft,1,0,2014-2019
281,2015,D22,Crimes Against Property,Theft,4,0,2014-2019
282,2017,D52,Crimes Against Property,Theft,1,0,2014-2019
283,2015,D55,Crimes Against Property,Break & Enter,2,0,2014-2019
284,2014,D14,Crimes Against the Person,Sexual Violation,1,0,2014-2019
285,2019,D13,Crimes Against the Person,Attempt Murder,2,0,2014-2019
286,2014,D22,Crimes Against Property,Break & Enter,1,0,2014-2019
287,2021,D33,Crimes Against Property,Break & Enter,3,0,COVID Period
288,2014,D52,Crimes Against Property,Other,1,0,2014-2019
289,2016,D53,Crimes Against Property,Fraud,1,0,2014-2019
290,2021,D33,Crimes Against the Person,Assault,1,0,COVID Period
291,2015,D52,Crimes Against Property,Theft,1,0,2014-2019
292,2014,D41,Crimes Against Property,Break & Enter,1,0,2014-2019
293,2021,D53,Crimes Against the Person,Sexual Violation,1,0,COVID Period
294,2018,D51,Crimes Against Property,Break & Enter,2,0,2014-2019
296,2015,D55,Crimes Against Property,Theft,1,0,2014-2019
297,2021,D32,Crimes Against Property,Break & Enter,15,0,COVID Period
298,2018,D32,Crimes Against Property,Break & Enter,15,0,2014-2019
299,2021,D12,Crimes Against the Person,Other,4,0,COVID Period
300,2017,D53,Crimes Against Property,Break & Enter,1,0,2014-2019
301,2018,D51,Crimes Against Property,Theft,4,0,2014-2019
302,2019,D13,Crimes Against Property,Break & Enter,5,0,2014-2019
303,2021,D43,Crimes Against Property,Break & Enter,1,0,COVID Period
304,2014,D13,Crimes Against Property,Theft,4,0,2014-2019
305,2017,D55,Crimes Against Property,Fraud,32,0,2014-2019
306,2020,D33,Crimes Against Property,Theft,2,0,COVID Period
307,2018,D13,Crimes Against Property,Fraud,1,0,2014-2019
308,2018,D53,Crimes Against Property,Break & Enter,3,0,2014-2019
310,2022,D42,Crimes Against Property,Break & Enter,4,0,COVID Period
311,2016,D31,Crimes Against the Person,Sexual Violation,1,0,2014-2019
312,2015,D41,Crimes Against Property,Fraud,1,0,2014-2019
313,2018,D53,Crimes Against Property,Break & Enter,10,0,2014-2019
314,2023,D52,Crimes Against Property,Other,7,0,After COVID
315,2014,D33,Crimes Against Property,Other,2,0,2014-2019
316,2023,D13,Crimes Against Property,Theft,10,0,After COVID
317,2018,D13,Crimes Against Property,Theft,1,0,2014-2019
318,2015,D23,Crimes Against the Person,Robbery,1,0,2014-2019
319,2022,D33,Crimes Against Property,Break & Enter,1,0,COVID Period
320,2019,D13,Crimes Against Property,Theft,1,0,2014-2019
321,2023,D53,Crimes Against Property,Break & Enter,1,0,After COVID
322,2014,D32,Crimes Against Property,Theft,9,0,2014-2019
323,2020,D12,Crimes Against Property,Theft,2,0,COVID Period
324,2015,D23,Crimes Against Property,Break & Enter,7,0,2014-2019
326,2021,D51,Crimes Against Property,Break & Enter,2,0,COVID Period
327,2022,D22,Crimes Against Property,Break & Enter,2,0,COVID Period
328,2020,D41,Crimes Against Property,Break & Enter,1,0,COVID Period
329,2018,D13,Crimes Against Property,Break & Enter,3,0,2014-2019
330,2016,D32,Crimes Against Property,Break & Enter,2,0,2014-2019
332,2023,D13,Crimes Against Property,Theft,2,0,After COVID
333,2016,D33,Crimes Against the Person,Attempt Murder,1,0,2014-2019
334,2019,D43,Crimes Against Property,Theft,3,0,2014-2019
335,2023,D41,Crimes Against Property,Theft,45,0,After COVID
336,2020,D32,Crimes Against Property,Break & Enter,4,0,COVID Period
337,2016,D32,Crimes Against Property,Theft,1,0,2014-2019
338,2021,D53,Crimes Against Property,Break & Enter,1,0,COVID Period
339,2015,D12,Crimes Against Property,Theft,3,0,2014-2019
340,2022,D12,Crimes Against Property,Fraud,12,0,COVID Period
341,2015,D33,Crimes Against Property,Break & Enter,1,0,2014-2019
342,2016,D14,Crimes Against Property,Theft,3,0,2014-2019
343,2015,D53,Crimes Against the Person,Sexual Violation,2,0,2014-2019
344,2021,D13,Crimes Against Property,Break & Enter,5,0,COVID Period
345,2019,D13,Crimes Against Property,Break & Enter,1,0,2014-2019
346,2020,D11,Crimes Against the Person,Robbery,1,0,COVID Period
347,2022,D55,Crimes Against Property,Fraud,43,0,COVID Period
348,2020,D12,Crimes Against Property,Break & Enter,1,0,COVID Period
349,2018,D23,Crimes Against Property,Break & Enter,1,0,2014-2019
350,2016,D55,Crimes Against Property,Theft,3,0,2014-2019
352,2014,D41,Crimes Against Property,Fraud,1,0,2014-2019
353,2018,D33,Crimes Against Property,Break & Enter,4,0,2014-2019
354,2022,D53,Crimes Against Property,Theft,1,0,COVID Period
355,2016,D55,Crimes Against Property,Theft,7,0,2014-2019
357,2018,D12,Crimes Against Property,Break & Enter,4,0,2014-2019
358,2017,D43,Crimes Against Property,Theft,1,0,2014-2019
359,2020,D53,Crimes Against Property,Break & Enter,4,0,COVID Period
360,2020,D31,Crimes Against Property,Other,3,0,COVID Period
361,2015,D32,Crimes Against Property,Theft,20,0,2014-2019
362,2017,D32,Crimes Against Property,Break & Enter,1,0,2014-2019
363,2019,D42,Crimes Against Property,Break & Enter,26,0,2014-2019
364,2016,D22,Crimes Against Property,Break & Enter,3,0,2014-2019
365,2021,D22,Crimes Against Property,Break & Enter,11,0,COVID Period
366,2018,D23,Crimes Against Property,Theft,3,0,2014-2019
368,2023,D41,Crimes Against Property,Other,24,0,After COVID
369,2021,D53,Crimes Against Property,Theft,3,0,COVID Period
370,2020,D32,Crimes Against Property,Break & Enter,2,0,COVID Period
371,2018,D55,Crimes Against the Person,Assault,1,0,2014-2019
372,2014,D52,Crimes Against the Person,Robbery,2,0,2014-2019
373,2018,D13,Crimes Against Property,Break & Enter,3,0,2014-2019
374,2016,D13,Crimes Against Property,Theft,3,0,2014-2019
375,2022,D12,Crimes Against Property,Theft,13,0,COVID Period
376,2023,D55,Crimes Against the Person,Sexual Violation,1,0,After COVID
377,2021,D33,Crimes Against Property,Break & Enter,1,0,COVID Period
378,2015,D22,Crimes Against Property,Break & Enter,5,0,2014-2019
379,2016,D55,Crimes Against Property,Break & Enter,12,0,2014-2019
380,2015,D22,Crimes Against the Person,Robbery,1,0,2014-2019
381,2018,D41,Crimes Against Property,Break & Enter,2,0,2014-2019
383,2016,D13,Crimes Against Property,Break & Enter,1,0,2014-2019
384,2021,D51,Crimes Against Property,Theft,85,0,COVID Period
386,2014,D31,Crimes Against Property,Break & Enter,2,0,2014-2019
387,2016,D11,Crimes Against Property,Break & Enter,5,0,2014-2019
388,2014,D55,Crimes Against Property,Break & Enter,2,0,2014-2019
389,2019,D32,Crimes Against Property,Break & Enter,3,0,2014-2019
390,2017,D53,Crimes Against Property,Other,1,0,2014-2019
391,2022,D53,Crimes Against Property,Fraud,20,0,COVID Period
392,2018,D14,Crimes Against Property,Theft,7,0,2014-2019
393,2018,D13,Crimes Against Property,Break & Enter,1,0,2014-2019
394,2022,D51,Crimes Against Property,Theft,1,0,COVID Period
395,2023,D32,Crimes Against Property,Theft,1,0,After COVID
396,2017,D11,Crimes Against the Person,Assault,1,0,2014-2019
397,2018,D13,Crimes Against the Person,Robbery,1,0,2014-2019
399,2021,D42,Crimes Against the Person,Sexual Violation,1,0,COVID Period
400,2021,D53,Crimes Against Property,Theft,6,0,COVID Period
401,2016,D53,Crimes Against Property,Break & Enter,1,0,2014-2019
402,2016,D32,Crimes Against Property,Theft,1,0,2014-2019
403,2016,D13,Crimes Against Property,Break & Enter,1,0,2014-2019
405,2022,D33,Crimes Against Property,Break & Enter,2,0,COVID Period
406,2020,D32,Crimes Against Property,Break & Enter,1,0,COVID Period
407,2018,D11,Crimes Against Property,Break & Enter,5,0,2014-2019
408,2023,D12,Crimes Against Property,Fraud,13,0,After COVID
409,2015,D43,Crimes Against Property,Break & Enter,4,0,2014-2019
410,2014,D12,Crimes Against Property,Fraud,5,0,2014-2019
411,2014,D23,Crimes Against Property,Theft,10,0,2014-2019
412,2018,D11,Crimes Against Property,Break & Enter,17,0,2014-2019
413,2019,D53,Crimes Against the Person,Sexual Violation,1,0,2014-2019
414,2021,D43,Crimes Against Property,Theft,4,0,COVID Period
415,2020,D33,Crimes Against Property,Fraud,29,0,COVID Period
416,2023,D55,Crimes Against Property,Theft,32,0,After COVID
417,2021,D53,Crimes Against Property,Theft,23,0,COVID Period
418,2019,D22,Crimes Against Property,Break & Enter,2,0,2014-2019
419,2022,D32,Crimes Against Property,Break & Enter,2,0,COVID Period
420,2016,D51,Crimes Against Property,Theft,1,0,2014-2019
421,2016,D23,Crimes Against Property,Break & Enter,11,0,2014-2019
422,2020,D55,Crimes Against Property,Theft,2,0,COVID Period
423,2023,D43,Crimes Against Property,Break & Enter,1,0,After COVID
424,2020,D32,Crimes Against Property,Break & Enter,1,0,COVID Period
425,2021,D55,Crimes Against Property,Break & Enter,17,0,COVID Period
426,2016,D53,Crimes Against Property,Theft,5,0,2014-2019
428,2019,D55,Crimes Against Property,Break & Enter,1,0,2014-2019
429,2021,D41,Crimes Against Property,Theft,14,0,COVID Period
430,2023,D14,Crimes Against Property,Break & Enter,7,0,After COVID
431,2016,D32,Crimes Against Property,Theft,28,0,2014-2019
432,2020,D12,Crimes Against the Person,Other,4,0,COVID Period
433,2018,D43,Crimes Against Property,Break & Enter,5,0,2014-2019
434,2016,D14,Crimes Against the Person,Sexual Violation,1,0,2014-2019
435,2016,D12,Crimes Against Property,Theft,4,0,2014-2019
436,2021,D14,Crimes Against Property,Theft,2,0,COVID Period
437,2018,D33,Crimes Against Property,Theft,2,0,2014-2019
439,2020,D12,Crimes Against Property,Break & Enter,10,0,COVID Period
440,2017,D51,Crimes Against Property,Fraud,1,0,2014-2019
441,2022,D11,Crimes Against Property,Break & Enter,3,0,COVID Period
442,2014,D22,Crimes Against Property,Break & Enter,2,0,2014-2019
443,2018,D51,Crimes Against Property,Break & Enter,2,0,2014-2019
444,2019,D53,Crimes Against Property,Theft,1,0,2014-2019
445,2017,D41,Crimes Against Property,Break & Enter,2,0,2014-2019
447,2022,D53,Crimes Against Property,Break & Enter,1,0,COVID Period
448,2021,D23,Crimes Against Property,Theft,2,0,COVID Period
449,2019,D33,Crimes Against Property,Theft,1,0,2014-2019
450,2016,D23,Crimes Against Property,Break & Enter,4,0,2014-2019
452,2015,D32,Crimes Against Property,Break & Enter,3,0,2014-2019
453,2018,D53,Crimes Against Property,Theft,3,0,2014-2019
